customer_id,age,tenure_months,monthly_charges,contract_type,num_support_calls,has_internet,churn
1,23,58,55.16,month-to-month,3,True,0
2,65,53,88.49,month-to-month,1,True,0
3,58,40,70.69,month-to-month,1,True,1
4,45,63,64.34,month-to-month,3,False,0
5,44,9,67.88,month-to-month,1,True,0
6,71,66,74.46,month-to-month,3,True,0
7,23,61,82.34,one-year,1,True,0
8,61,36,50.01,month-to-month,1,True,0
9,30,52,49.17,one-year,3,True,0
10,23,37,92.09,month-to-month,1,True,0
11,50,19,61.75,month-to-month,3,True,1
12,78,57,41.66,month-to-month,5,True,1
13,63,17,78.88,month-to-month,1,True,0
14,65,22,79.27,month-to-month,4,False,1
15,62,37,39.39,two-year,1,True,0
16,66,60,74.59,month-to-month,2,False,0
17,49,27,84.71,month-to-month,2,True,0
18,25,35,77.49,one-year,2,True,0
19,70,2,82.64,month-to-month,2,True,1
20,45,8,41.91,month-to-month,6,True,1
21,49,4,76.62,month-to-month,2,True,1
22,40,5,63.95,month-to-month,0,True,1
23,29,62,60.34,month-to-month,3,True,0
24,75,60,87.41,one-year,1,True,0
25,66,59,99.59,two-year,7,True,0
26,57,4,105.89,month-to-month,0,True,1
27,42,5,96.3,one-year,1,True,0
28,69,20,67.81,one-year,2,True,0
29,51,40,77.05,month-to-month,4,True,0
30,45,24,85.34,one-year,1,True,0
31,45,35,72.42,one-year,2,True,0
32,32,12,72.62,two-year,3,True,0
33,23,52,86.48,two-year,1,True,0
34,52,22,68.81,month-to-month,1,True,0
35,73,4,55.41,month-to-month,1,True,0
36,21,53,61.71,month-to-month,2,True,0
37,71,65,82.68,month-to-month,1,True,0
38,69,1,70.06,month-to-month,0,True,0
39,35,31,76.8,two-year,4,True,1
40,57,59,83.4,month-to-month,0,True,0
41,28,50,62.5,month-to-month,3,True,0
42,65,61,85.12,two-year,2,True,0
43,61,29,77.58,month-to-month,2,True,0
44,39,26,45.3,month-to-month,5,True,1
45,22,51,98.85,two-year,0,True,0
46,78,11,59.99,month-to-month,2,True,1
47,45,17,36.9,month-to-month,1,True,0
48,73,43,49.1,month-to-month,0,True,0
49,60,48,49.58,two-year,0,True,0
50,66,8,71.04,month-to-month,4,True,1
51,65,36,64.52,month-to-month,3,True,0
52,30,26,63.26,month-to-month,1,True,0
53,40,36,82.39,month-to-month,6,True,0
54,46,69,76.8,two-year,2,True,0
55,48,5,76.32,month-to-month,2,True,1
56,20,71,78.2,two-year,1,True,0
57,51,32,82.32,month-to-month,0,True,0
58,27,55,27.84,month-to-month,0,True,0
59,64,30,62.71,two-year,2,False,1
60,60,22,26.4,month-to-month,1,False,0
61,75,55,,month-to-month,0,True,0
62,64,49,69.91,two-year,3,True,0
63,40,10,90.91,month-to-month,1,True,0
64,77,50,93.75,month-to-month,2,True,0
65,43,54,74.06,two-year,5,True,0
66,38,27,59.99,month-to-month,0,True,0
67,74,66,79.7,month-to-month,0,True,0
68,40,46,59.44,month-to-month,0,True,0
69,22,24,69.97,month-to-month,3,True,0
70,47,0,89.72,month-to-month,1,True,0
71,67,48,58.84,one-year,1,True,0
72,29,15,86.11,month-to-month,1,True,0
73,46,54,83.55,one-year,3,True,0
74,26,37,,month-to-month,1,False,0
75,60,33,89.48,month-to-month,1,True,0
76,47,11,83.97,month-to-month,3,True,0
77,38,51,72.04,one-year,1,True,0
78,32,11,54.75,month-to-month,1,False,1
79,52,30,52.82,month-to-month,2,False,0
80,59,60,59.25,two-year,4,True,1
81,76,66,80.85,one-year,0,True,0
82,45,71,50.89,month-to-month,4,True,0
83,27,68,78.75,two-year,3,True,0
84,69,40,45.16,month-to-month,0,False,0
85,57,14,65.92,month-to-month,1,True,0
86,61,60,72.19,month-to-month,2,True,0
87,24,57,118.9,month-to-month,0,True,0
88,37,71,42.45,month-to-month,1,True,0
89,65,46,99.44,one-year,2,True,1
90,69,10,73.0,month-to-month,3,True,0
91,44,36,78.22,two-year,6,True,0
92,67,32,72.37,two-year,2,True,0
93,70,60,78.89,one-year,1,False,0
94,42,28,,one-year,1,True,0
95,73,23,99.08,one-year,1,False,0
96,35,5,60.87,two-year,2,True,0
97,32,60,92.64,month-to-month,2,True,0
98,60,54,,month-to-month,3,True,0
99,57,2,68.79,month-to-month,3,True,1
100,26,31,48.56,month-to-month,2,True,1
101,69,34,79.1,month-to-month,2,True,0
102,30,33,98.9,one-year,0,True,0
103,67,66,,month-to-month,0,True,0
104,18,10,,two-year,1,True,0
105,67,22,47.71,month-to-month,4,False,0
106,66,13,65.41,month-to-month,0,False,1
107,66,17,38.14,month-to-month,1,False,0
108,59,65,51.74,month-to-month,0,True,0
109,47,67,74.54,month-to-month,1,False,0
110,61,3,96.38,month-to-month,4,True,1
111,35,45,126.18,month-to-month,3,False,0
112,66,16,58.27,month-to-month,2,True,0
113,52,13,98.71,month-to-month,1,True,0
114,46,21,74.88,month-to-month,3,False,0
115,49,13,66.98,month-to-month,3,True,0
116,53,35,,month-to-month,0,True,0
117,20,71,71.24,month-to-month,4,True,0
118,26,42,72.21,month-to-month,1,True,0
119,33,52,61.83,month-to-month,0,True,0
120,25,35,42.04,one-year,0,False,1
121,45,1,39.13,two-year,2,False,0
122,59,6,83.06,two-year,3,False,0
123,58,19,64.47,month-to-month,1,True,0
124,47,17,58.08,month-to-month,2,True,1
125,71,60,70.17,month-to-month,3,True,0
126,53,60,85.9,one-year,2,True,0
127,22,61,73.61,one-year,2,True,0
128,65,45,56.88,two-year,1,True,0
129,53,40,94.53,two-year,3,False,0
130,57,46,101.58,month-to-month,3,True,0
131,53,29,79.89,one-year,4,True,0
132,52,48,89.47,two-year,1,True,0
133,23,57,94.84,month-to-month,1,True,0
134,52,54,92.6,two-year,2,True,0
135,67,44,82.28,month-to-month,0,True,0
136,36,4,81.97,two-year,2,True,0
137,55,52,80.39,one-year,6,True,0
138,19,26,48.05,month-to-month,1,True,0
139,39,53,84.01,one-year,1,True,0
140,45,38,42.88,month-to-month,1,True,0
141,78,63,54.11,one-year,1,True,0
142,31,24,96.07,one-year,2,True,0
143,35,67,86.8,one-year,4,True,0
144,43,60,99.75,two-year,1,True,0
145,79,23,64.57,month-to-month,0,False,0
146,70,34,46.96,month-to-month,6,True,0
147,20,38,,month-to-month,0,True,0
148,32,55,72.04,month-to-month,2,True,0
149,68,49,71.58,month-to-month,0,True,0
150,21,61,92.67,month-to-month,2,True,0
151,71,26,62.77,month-to-month,0,False,0
152,35,36,77.04,month-to-month,2,True,1
153,74,31,50.23,two-year,4,True,0
154,36,65,79.01,month-to-month,1,True,0
155,44,21,70.06,two-year,0,True,0
156,59,42,55.0,month-to-month,4,False,0
157,25,8,65.28,month-to-month,3,True,0
158,52,61,66.32,month-to-month,3,True,0
159,49,27,64.6,month-to-month,1,True,0
160,66,24,105.43,month-to-month,3,True,0
161,79,41,68.03,month-to-month,2,True,0
162,59,35,65.12,month-to-month,5,True,1
163,43,61,28.05,month-to-month,5,True,0
164,43,38,52.12,one-year,1,True,0
165,43,37,64.74,month-to-month,1,False,0
166,68,7,56.28,two-year,2,True,0
167,37,1,97.63,month-to-month,5,True,1
168,28,28,66.7,two-year,1,True,0
169,38,71,95.77,one-year,3,True,0
170,19,66,71.23,two-year,4,True,0
171,24,45,70.74,two-year,5,True,0
172,23,45,68.22,month-to-month,4,True,0
173,65,28,70.08,month-to-month,2,True,1
174,62,12,104.38,month-to-month,0,True,0
175,61,0,23.61,two-year,1,True,1
176,46,24,29.97,one-year,1,True,0
177,62,22,59.14,month-to-month,0,True,1
178,27,13,70.29,two-year,1,True,0
179,73,18,83.8,month-to-month,2,True,0
180,49,1,79.46,one-year,1,False,1
181,76,43,62.32,one-year,3,True,0
182,27,66,90.38,month-to-month,1,True,0
183,48,49,90.6,one-year,3,True,0
184,61,32,73.68,two-year,4,True,0
185,48,30,,month-to-month,2,True,0
186,45,22,75.45,month-to-month,4,True,1
187,28,10,58.77,month-to-month,3,True,1
188,41,43,83.96,one-year,3,True,0
189,32,40,72.21,month-to-month,1,True,0
190,36,0,70.03,two-year,2,True,0
191,60,29,99.46,two-year,2,False,1
192,57,20,20.98,month-to-month,1,False,0
193,55,12,41.65,month-to-month,5,True,0
194,40,50,46.26,one-year,3,True,0
195,77,37,62.73,one-year,3,True,0
196,23,45,64.91,month-to-month,0,True,0
197,39,51,39.85,month-to-month,5,True,1
198,25,70,50.3,month-to-month,0,True,0
199,39,57,52.78,two-year,1,False,0
200,77,44,119.15,month-to-month,1,True,0
201,40,63,106.03,two-year,1,True,0
202,74,34,61.77,month-to-month,1,True,0
203,48,70,62.73,two-year,2,True,0
204,61,54,47.02,month-to-month,4,False,0
205,46,46,31.84,month-to-month,3,True,0
206,34,65,67.66,two-year,4,True,0
207,65,37,,two-year,2,True,0
208,78,51,68.3,month-to-month,0,True,0
209,34,20,38.0,month-to-month,4,True,1
210,66,69,54.76,month-to-month,3,True,0
211,34,44,72.97,month-to-month,1,True,0
212,62,56,77.32,month-to-month,2,True,0
213,66,33,78.35,two-year,2,True,0
214,45,62,43.59,month-to-month,2,True,0
215,63,5,87.09,one-year,1,True,0
216,34,8,54.0,month-to-month,1,True,0
217,22,36,82.66,month-to-month,0,True,0
218,23,52,69.79,one-year,1,True,0
219,45,58,42.47,month-to-month,1,True,0
220,73,31,63.68,one-year,3,True,0
221,25,46,77.31,month-to-month,1,True,0
222,46,39,82.26,two-year,1,False,0
223,61,69,67.18,one-year,2,True,0
224,30,47,100.64,two-year,2,True,0
225,62,30,90.15,month-to-month,3,True,0
226,36,69,64.87,month-to-month,1,True,0
227,68,7,85.0,month-to-month,1,True,1
228,53,70,108.68,month-to-month,2,True,0
229,51,11,109.21,month-to-month,0,True,0
230,28,20,45.44,month-to-month,3,True,0
231,46,59,51.47,month-to-month,0,True,0
232,71,52,99.7,month-to-month,1,True,0
233,19,69,48.83,month-to-month,3,True,0
234,65,53,43.55,month-to-month,0,False,0
235,48,45,60.28,month-to-month,0,True,0
236,62,24,78.4,one-year,2,True,0
237,59,0,67.95,month-to-month,2,True,0
238,44,8,56.99,month-to-month,1,True,0
239,37,21,56.52,month-to-month,6,True,0
240,56,2,55.75,one-year,6,True,0
241,26,36,52.41,month-to-month,4,True,0
242,54,55,115.63,one-year,3,True,0
243,23,69,75.95,two-year,4,True,0
244,58,35,87.74,month-to-month,4,True,1
245,56,63,60.22,two-year,1,False,0
246,23,70,66.28,one-year,2,True,0
247,64,61,55.73,month-to-month,3,True,0
248,43,33,20.0,month-to-month,1,True,0
249,66,23,42.44,one-year,3,True,0
250,20,70,33.79,two-year,1,False,0
251,29,17,25.0,month-to-month,2,True,0
252,48,29,46.09,month-to-month,2,True,0
253,29,5,96.5,one-year,1,True,0
254,38,57,69.11,month-to-month,3,True,0
255,58,46,,one-year,6,True,0
256,26,6,78.22,month-to-month,1,False,0
257,60,15,85.65,one-year,2,True,0
258,24,39,51.98,two-year,3,True,0
259,28,38,80.48,one-year,2,True,0
260,54,57,84.57,one-year,2,True,0
261,67,19,,one-year,1,False,0
262,28,66,81.19,two-year,1,True,0
263,36,32,81.32,two-year,4,True,0
264,75,59,59.01,month-to-month,0,True,0
265,79,17,47.54,one-year,1,True,0
266,54,2,46.32,month-to-month,1,True,1
267,45,3,71.73,two-year,1,True,0
268,39,26,76.54,one-year,4,True,0
269,55,68,54.15,month-to-month,1,True,1
270,54,3,70.53,month-to-month,2,True,1
271,36,26,81.41,month-to-month,3,True,0
272,19,7,82.36,one-year,2,True,0
273,27,67,101.04,month-to-month,2,True,0
274,77,48,95.54,month-to-month,3,True,0
275,43,54,49.97,two-year,2,True,0
276,47,51,103.67,one-year,1,True,0
277,46,47,59.38,month-to-month,1,True,0
278,66,55,90.9,month-to-month,3,True,1
279,22,0,71.36,two-year,5,True,0
280,23,62,61.76,one-year,1,True,0
281,35,53,33.85,one-year,1,True,0
282,48,53,66.57,month-to-month,2,True,0
283,59,28,38.81,month-to-month,2,True,1
284,48,57,89.35,month-to-month,1,True,0
285,45,27,100.34,one-year,1,False,0
286,76,3,54.06,month-to-month,3,True,1
287,27,65,76.04,month-to-month,2,True,0
288,53,16,,one-year,2,True,0
289,51,7,57.43,two-year,0,True,0
290,47,44,85.49,one-year,0,True,0
291,68,16,69.23,month-to-month,2,True,0
292,34,61,104.79,month-to-month,1,True,0
293,77,31,60.36,month-to-month,4,True,1
294,38,0,89.99,month-to-month,1,True,0
295,51,68,71.95,month-to-month,4,True,0
296,50,37,85.92,month-to-month,4,True,0
297,70,18,61.06,one-year,1,True,0
298,45,48,69.01,two-year,0,True,0
299,35,38,67.69,two-year,1,True,0
300,19,2,53.28,month-to-month,3,True,1
301,40,54,83.24,month-to-month,5,True,1
302,69,28,83.0,month-to-month,3,True,0
303,18,50,81.87,month-to-month,2,True,0
304,73,64,100.74,month-to-month,2,True,0
305,51,43,98.99,month-to-month,3,True,0
306,26,48,62.5,one-year,3,True,0
307,36,18,77.46,month-to-month,4,True,0
308,52,17,57.53,two-year,1,True,0
309,37,29,70.47,month-to-month,2,True,0
310,24,61,58.01,month-to-month,0,True,0
311,59,37,102.4,month-to-month,0,True,0
312,59,25,,month-to-month,1,True,0
313,25,56,65.64,month-to-month,1,True,0
314,35,61,93.87,two-year,2,True,0
315,33,64,26.59,month-to-month,2,True,0
316,58,21,29.72,month-to-month,3,False,1
317,63,51,85.92,one-year,3,True,0
318,63,42,71.21,month-to-month,1,True,0
319,76,32,75.01,one-year,0,True,0
320,65,28,43.47,month-to-month,2,True,0
321,37,8,69.54,two-year,0,True,0
322,24,19,110.07,month-to-month,1,True,0
323,56,39,86.48,month-to-month,1,True,0
324,74,63,73.39,one-year,2,True,0
325,78,62,61.22,two-year,1,True,0
326,32,13,62.11,month-to-month,1,True,1
327,32,48,27.42,one-year,1,True,0
328,20,6,75.15,month-to-month,1,True,0
329,26,48,86.91,month-to-month,2,True,0
330,52,24,38.49,month-to-month,1,True,0
331,51,32,56.77,one-year,1,True,0
332,40,51,46.85,month-to-month,4,False,1
333,37,30,50.69,one-year,1,False,0
334,69,58,71.07,month-to-month,0,True,0
335,46,38,28.31,two-year,0,True,0
336,68,71,82.29,two-year,2,True,0
337,77,45,85.08,month-to-month,3,True,1
338,37,21,64.98,month-to-month,1,True,0
339,30,55,20.39,month-to-month,1,True,0
340,77,29,50.07,two-year,1,False,0
341,57,38,94.66,month-to-month,1,False,0
342,36,9,20.0,month-to-month,1,True,0
343,56,8,63.05,month-to-month,2,True,1
344,49,41,46.4,one-year,1,True,0
345,74,13,86.09,month-to-month,2,True,0
346,33,71,56.5,month-to-month,5,False,0
347,79,61,78.08,two-year,3,True,0
348,76,50,81.31,month-to-month,2,True,0
349,29,52,,two-year,1,True,0
350,28,42,65.94,month-to-month,3,True,0
351,51,4,77.52,month-to-month,1,True,0
352,20,28,40.3,two-year,2,True,0
353,36,35,93.81,one-year,1,True,0
354,44,65,54.79,one-year,4,True,0
355,78,15,58.78,month-to-month,3,True,1
356,79,35,69.56,month-to-month,5,True,0
357,27,24,38.74,month-to-month,1,True,1
358,73,9,,month-to-month,4,True,0
359,23,7,89.35,month-to-month,2,True,0
360,64,26,75.86,month-to-month,1,True,0
361,70,5,38.22,month-to-month,3,True,1
362,73,4,67.52,month-to-month,2,True,1
363,31,25,84.84,month-to-month,2,True,0
364,73,14,32.44,month-to-month,3,True,0
365,25,39,48.5,two-year,1,True,0
366,50,1,87.53,one-year,2,True,0
367,47,21,75.4,month-to-month,1,True,0
368,37,32,78.24,one-year,4,True,0
369,19,69,107.19,two-year,2,True,0
370,65,45,79.37,month-to-month,1,True,0
371,38,63,83.16,month-to-month,4,True,0
372,59,24,124.21,month-to-month,4,True,1
373,43,32,65.72,month-to-month,3,False,0
374,41,30,54.04,one-year,5,True,0
375,72,63,78.56,two-year,4,False,0
376,23,69,78.78,month-to-month,3,True,0
377,63,69,59.47,one-year,0,False,0
378,64,54,49.35,month-to-month,4,False,0
379,41,36,116.2,one-year,1,False,1
380,34,38,76.54,one-year,2,True,0
381,18,70,55.35,month-to-month,0,True,0
382,76,20,88.32,month-to-month,2,True,0
383,76,24,67.82,one-year,1,True,0
384,32,64,64.94,two-year,2,True,1
385,19,27,81.25,month-to-month,0,False,0
386,25,16,44.16,month-to-month,1,True,0
387,22,40,77.05,month-to-month,1,True,0
388,69,23,108.26,one-year,2,True,0
389,73,64,79.32,one-year,2,True,0
390,27,65,62.48,one-year,0,True,0
391,64,22,59.86,one-year,2,True,0
392,29,38,61.79,two-year,5,True,0
393,40,70,64.92,two-year,5,True,0
394,55,53,62.44,month-to-month,4,True,0
395,62,15,88.33,one-year,0,True,0
396,72,42,35.34,month-to-month,0,True,0
397,20,44,87.24,month-to-month,1,True,0
398,30,47,62.41,two-year,3,False,1
399,35,1,77.54,one-year,1,True,0
400,37,21,47.46,two-year,2,True,0
401,79,61,96.57,month-to-month,2,True,0
402,66,17,94.91,month-to-month,3,True,0
403,37,21,89.19,month-to-month,0,True,0
404,78,23,39.7,month-to-month,1,True,0
405,48,12,86.58,month-to-month,2,True,0
406,49,11,78.1,month-to-month,0,True,1
407,44,24,,month-to-month,1,True,0
408,26,62,69.51,two-year,1,False,0
409,75,0,77.29,month-to-month,2,True,0
410,18,20,81.12,month-to-month,0,True,0
411,28,4,73.55,one-year,1,True,0
412,32,40,75.82,month-to-month,2,True,0
413,35,18,99.47,two-year,1,True,0
414,26,57,94.52,one-year,2,True,0
